REMUNERAÃ.Ã.O.BÃ.SICA.BRUTA..R..,count
"5092,47",1
"23356,65",1
"26209,00",1
"4031,17",1
"10551,65",1
"5526,89",1
"3834,91",1
"8518,91",1
"20908,14",1
"8717,28",1
"23421,63",1
"6622,36",1
"9445,47",1
"16723,34",1
"6359,02",1
"25187,93",1
"14909,99",1
"6151,83",1
"9720,93",1
"8795,67",1
"6253,08",1
"3106,15",1
"6297,05",1
"8444,85",1
"4011,97",1
"9051,50",1
"4852,65",1
"15262,96",1
"6879,33",1
"8916,27",1
"24502,44",1
"13065,14",1
"2019,30",1
"10305,20",1
"25872,20",1
"11319,40",1
"4062,80",1
"6275,13",1
"9966,16",1
"5893,01",1
"15107,77",1
"14737,31",1
"9003,31",1
"3208,83",1
"17971,42",1
"14001,14",1
"7791,05",1
"6219,31",1
"35929,15",1
"3789,04",1
"6268,18",1
"4942,15",1
"8783,91",1
"6268,72",1
"16287,15",1
"9834,96",1
"4407,90",1
"23533,07",1
"22103,50",1
"8759,08",1
"5229,42",1
"7626,43",1
"10425,06",1
"5569,58",1
"21645,72",1
"12643,55",1
"4484,85",1
"18333,29",1
"4943,05",1
"9490,24",1
"3186,90",1
"3711,14",1
"8180,48",1
"19742,89",1
"15267,91",1
"8967,56",1
"7524,69",1
"5603,53",1
"8997,42",1
"8115,83",1
"6060,33",1
"6640,80",1
"15019,81",1
"3523,19",1
"4570,81",1
"21562,25",1
"15411,90",1
"9047,87",1
"7116,04",1
"21964,46",1
"10085,60",1
"10261,11",1
"22901,21",1
"14146,56",1
"7205,92",1
"20561,72",1
"30363,64",1
"12607,39",1
"21784,21",1
"21661,65",1
"14172,95",1
"5298,25",1
"8904,76",1
"34840,39",1
"12191,60",1
"7243,98",1
"8870,00",1
"4270,78",1
"10363,23",1
"18391,22",1
"4579,53",1
"16240,70",1
"12007,35",1
"6728,53",1
"14400,40",1
"12909,56",1
"13167,19",1
"10266,21",1
"4870,07",1
"9207,68",1
"18008,43",1
"17190,88",1
"7786,73",1
"30651,02",1
"29223,90",1
"5750,25",1
"4648,52",1
"7083,79",1
"9483,33",1
"22046,53",1
"9558,86",1
"4704,39",1
"31937,02",1
"4671,61",1
"5630,83",1
"5501,39",1
"7442,00",1
"7737,95",1
"6043,50",1
"5837,74",1
"7465,39",1
"12029,52",1
"15026,89",1
"5420,73",1
"6705,82",1
"4203,75",1
"9399,54",1
"6734,90",1
"24563,45",1
"4724,54",1
"6107,67",1
"4009,23",1
"9050,21",1
"5368,87",1
"5354,21",1
"4118,92",1
"12487,39",1
"8014,09",1
"7450,46",1
"22330,39",1
"6843,02",1
"3268,38",1
"4767,67",1
"5351,58",1
"22981,87",1
"5118,95",1
"12812,92",1
"4496,25",1
"17983,94",1
"3553,73",1
"32778,20",1
"13468,15",1
"4401,02",1
"5033,13",1
"3645,54",1
"4342,50",1
"25292,02",1
"5978,53",1
"4309,46",1
"8424,75",1
"15683,57",1
"17238,73",1
"5951,93",1
"6956,72",1
"4290,41",1
"9050,22",1
"3722,26",1
"3574,48",1
"5200,69",1
"7457,08",1
"10833,37",1
"15245,45",1
"5264,64",1
"20489,87",1
"11883,57",1
"5349,84",1
"11270,95",1
"4766,49",1
"4577,61",1
"7104,48",1
