REMUNERAÃ.Ã.O.BÃ.SICA.BRUTA..R..,count
"3869,94",3
"10021,16",3
"4516,22",3
"5457,85",3
"20627,23",3
"8430,30",3
"9649,29",3
"9100,70",3
"13104,50",3
"6188,65",3
"2771,22",3
"10423,63",3
"7109,90",3
"8773,41",3
"11003,52",3
"8955,84",3
"24043,03",3
"6584,98",3
"7700,18",3
"2369,86",3
"14611,95",3
"6520,75",3
"5263,05",3
"5435,77",3
"10605,63",3
"14456,02",3
"10488,96",3
"3299,85",3
"4865,35",3
"8938,48",3
"4324,95",3
"3984,48",3
"19290,02",3
"6619,62",2
"28655,55",2
"23753,27",2
"15692,61",2
"13698,25",2
"8323,21",2
"9422,32",2
"5077,39",2
"8032,56",2
"13227,29",2
"5439,89",2
"5288,88",2
"11523,34",2
"14403,26",2
"15181,82",2
"14532,03",2
"13086,90",2
"9448,43",2
"12897,85",2
"10926,07",2
"8938,96",2
"9772,48",2
"12483,83",2
"12077,40",2
"24523,65",2
"4786,08",2
"2133,75",2
"3379,08",2
"5467,82",2
"15876,27",2
"4849,63",2
"11439,93",2
"5286,43",2
"33595,11",2
"8071,91",2
"24481,85",2
"21255,55",2
"14750,33",2
"9873,29",2
"16269,11",2
"3541,34",2
"7922,46",2
"3924,53",2
"8240,22",2
"26785,38",2
"3594,64",2
"10836,92",2
"3382,54",2
"843,71",2
"5823,04",2
"13922,23",2
"13221,07",2
"8608,77",2
"3042,05",2
"4664,00",2
"6951,15",2
"4438,04",2
"24542,87",2
"24875,68",2
"10826,84",2
"12404,71",2
"6416,99",2
"7912,60",2
"12245,30",2
"13201,03",2
"820,13",2
"2879,29",2
"4928,68",2
"15070,44",2
"6435,90",2
"8732,58",2
"8284,33",2
"20839,20",2
"8549,86",2
"8074,57",2
"4385,88",2
"9375,37",2
"28305,19",2
"18421,65",2
"26771,65",2
"9161,86",2
"24065,52",2
"9748,32",2
"21534,05",2
"14164,81",2
"11231,31",2
"16277,47",2
"22898,00",2
"8806,57",2
"5247,52",2
"6273,17",2
"4941,99",2
"9287,09",2
"10122,09",2
"21995,30",2
"9282,97",2
"19148,50",2
"7494,22",2
"7433,38",2
"21932,72",2
"4035,09",2
"7141,88",2
"25530,98",2
"4139,87",2
"5224,27",2
"22320,20",2
"7212,05",2
"4839,23",2
"20875,02",2
"3665,90",2
"13606,24",2
"10866,03",2
"3030,53",2
"13940,80",2
"4130,57",2
"8871,21",2
"13100,44",2
"22360,50",2
"28242,53",2
"6937,36",2
"11130,78",2
"22361,24",2
"5371,06",2
"5841,52",2
"14697,14",2
"6278,62",2
"21888,14",2
"16745,24",2
"4913,66",2
"4212,25",2
"5055,10",2
